#  telescope	date	JD	airmass	filter_obs	filter	constant
     FTS	20120315	56002.901	1.164	   Bessell-R	  R  18.1550  VR -0.0146 | 0.011  0.0
     FTS	20120315	56002.902	1.164	   Bessell-I	  I  18.2537  RI -0.0721 | 0.054  0.0
     FTS	20120315	56002.902	1.164	   Bessell-I	  I  18.2542  VI -0.0362 | 0.057  0.0
     FTS	20120315	56002.901	1.164	   Bessell-R	  R  18.1550  RI -0.0157 | 0.011  0.0
     FTS	20120315	56002.898	1.166	   Bessell-B	  B  20.2792  BV 0.16838 | 0.804  0.0
     FTS	20120315	56002.899	1.165	   Bessell-V	  V  19.1622  BV -0.0312 | 0.130  0.0
     FTS	20120315	56002.899	1.165	   Bessell-V	  V  19.1653  VR -0.0655 | 0.154  0.0
     FTS	20120430	56048.862	1.312	   Bessell-B	  B  21.7362  BV 0.19216 | 0.943  0.0
     FTS	20120430	56048.863	1.318	   Bessell-V	  V  21.9598  BV -0.0403 | 0.713  0.0
     FTS	20120430	56048.863	1.318	   Bessell-V	  V  21.9627  VR -0.0801 | 0.756  0.0
     FTS	20120430	56048.865	1.324	   Bessell-R	  R  22.5152  VR -0.0382 | 0.089  0.0
     FTS	20120430	56048.865	1.324	   Bessell-R	  R  22.5157  RI -0.0427 | 0.100  0.0
     FTS	20120430	56048.866	1.330	   Bessell-I	  I  22.2717  RI 0.00483 | 0.001  0.0
     FTS	20120430	56048.866	1.330	   Bessell-I	  I  22.2717  VI 0.00242 | 0.001  0.0
     FTS	20120327	56014.896	1.170	   Bessell-B	  B  21.2761  BV 0.20200 | 0.920  0.0
     FTS	20120327	56014.898	1.171	   Bessell-V	  V  21.3421  BV -0.0338 | 0.320  0.0
     FTS	20120327	56014.898	1.171	   Bessell-V	  V  21.3447  VR -0.0680 | 0.349  0.0
     FTS	20120327	56014.899	1.173	   Bessell-R	  R  22.3625  VR -0.0441 | 0.098  0.0
     FTS	20120327	56014.899	1.173	   Bessell-R	  R  22.3628  RI -0.0477 | 0.104  0.0
     FTS	20120327	56014.900	1.174	   Bessell-I	  I  22.1846  RI -0.0004 | 7.829  0.0
     FTS	20120327	56014.900	1.174	   Bessell-I	  I  22.1845  VI 6.12866 | 6.446  0.0
     FTS	20120307	55994.905	1.180	   Bessell-B	  B  20.3778  BV 0.62641 | 0.062  0.0
     FTS	20120307	55994.906	1.178	   Bessell-V	  V  20.7728  BV 0.32103 | 0.043  0.0
     FTS	20120307	55994.906	1.178	   Bessell-V	  V  20.7500  VR 0.63725 | 0.045  0.0
