#  telescope	date	JD	airmass	filter_obs	filter	constant
     FTS	2012-11-06	56237.419	1.012	     daophot	  r  23.7713  ri 0.03879 | 0.084  0.0
  FTN_FS	2011-04-28T07:33:06.902	55679.315	1.218	      dophot	  g  27.0166  gr 0.16569 | 0.642  0.0
  FTN_FS	2011-04-29T06:54:51.720	55680.288	1.240	      dophot	  g  27.4676  gr 0.12763 | 0.846  0.0
  FTN_FS	2011-04-30T10:40:06.363	55681.445	1.463	      dophot	  g  27.3497  gr 0.19553 | 0.708  0.0
  FTN_FS	2011-05-01T06:28:13.239	55682.270	1.260	      dophot	  g  27.4684  gr 0.21466 | 0.682  0.0
  FTN_FS	2011-05-01T06:37:19.438	55682.276	1.249	      dophot	  g  27.5088  gr 0.18065 | 0.522  0.0
  FTN_FS	2011-05-11T06:10:39.263	55692.257	1.237	      dophot	  g  27.4325  gr 0.18521 | 0.751  0.0
  FTN_FS	2011-05-15T06:41:28.998	55696.279	1.214	      dophot	  g  27.2939  gr 0.25578 | 0.829  0.0
  FTN_FS	2011-05-19T05:49:15.810	55700.243	1.229	      dophot	  g  27.4495  gr 0.19284 | 0.600  0.0
  FTN_FS	2011-05-20T05:49:18.089	55701.243	1.226	      dophot	  g  27.4100  gr 0.24154 | 0.680  0.0
  FTN_FS	2011-05-22T05:51:05.605	55703.244	1.221	      dophot	  g  27.4471  gr 0.14857 | 0.813  0.0
  FTN_FS	2011-05-24T06:21:40.210	55705.265	1.213	      dophot	  g  27.4435  gr 0.19562 | 0.614  0.0
  FTN_FS	2011-05-25T06:20:40.425	55706.264	1.214	      dophot	  g  27.3417  gr 0.17539 | 0.737  0.0
  FTN_FS	2011-05-26T05:52:44.377	55707.245	1.215	      dophot	  g  27.3352  gr 0.15628 | 0.846  0.0
  FTN_FS	2011-05-28T06:15:49.341	55709.261	1.215	      dophot	  g  26.6645  gr 0.17842 | 0.105  0.0
  FTN_FS	2011-05-29T06:07:57.660	55710.256	1.214	      dophot	  g  27.4372  gr 0.13089 | 0.529  0.0
  FTN_FS	2011-05-29T05:58:46.831	55710.249	1.213	      dophot	  g  27.3538  gr 0.20216 | 0.834  0.0
  FTN_FS	2011-05-30T06:00:15.403	55711.250	1.214	      dophot	  g  27.4096  gr 0.13914 | 0.660  0.0
  FTN_FS	2011-05-31T06:20:47.530	55712.264	1.221	      dophot	  g  27.3453  gr 0.20302 | 0.605  0.0
  FTN_FS	2011-06-11T09:50:06.066	55723.410	2.169	      dophot	  g  27.0982  gr 0.15279 | 0.851  0.0
