#  telescope	date	JD	airmass	filter_obs	filter	constant
     FTS	2012-11-06	56237.419	1.012	     daophot	  r  23.7713  ri 0.03879 | 0.084  0.0
     FTS	2012-11-06	56237.419	1.012	     daophot	  r  23.7484  gr 0.04277 | 0.062  0.0
     FTS	2012-11-06	56237.419	1.011	      dophot	  r  23.1763  gr 0.04339 | 0.030  0.0
     FTS	2012-11-06	56237.419	1.011	      dophot	  r  23.2041  ri 0.02487 | 0.014  0.0
     FTS	2012-11-06	56237.419	1.011	     daophot	  r  23.1763  gr 0.04339 | 0.030  0.0
     FTS	2012-11-06	56237.419	1.011	     daophot	  r  23.2041  ri 0.02487 | 0.014  0.0
     FTS	2012-11-06	56237.419	1.011	      dophot	  r  23.1763  gr 0.04339 | 0.030  0.0
     FTS	2012-11-06	56237.419	1.011	      dophot	  r  23.2041  ri 0.02487 | 0.014  0.0
     FTS	2012-11-06	56237.419	1.011	     daophot	  r  23.2056  gr 0.02526 | 0.025  0.0
     FTS	2012-11-06	56237.419	1.011	     daophot	  r  23.2128  ri 0.04548 | 0.111  0.0
     FTS	2012-10-18	56218.544	1.172	     daophot	  r  24.4781  gr 0.04250 | 0.074  0.0
     FTS	2012-10-18	56218.544	1.172	     daophot	  r  24.5073  ri 0.02479 | 0.037  0.0
     FTS	2012-10-18	56218.403	1.025	      dophot	  r  25.0557  gr 0.00994 | 0.004  0.0
     FTS	2012-10-18	56218.403	1.025	      dophot	  r  25.0566  ri 0.02300 | 0.032  0.0
     FTS	2012-10-15	56215.547	1.152	     daophot	  i  25.2885  ri -0.0177 | 0.055  0.0
     FTS	2012-10-15	56215.547	1.150	     daophot	  i  25.2903  ri -0.0158 | 0.064  0.0
     FTS	2012-10-15	56215.547	1.150	      dophot	  i  25.1771  ri -0.0057 | 0.002  0.0
     FTS	2012-10-15	56215.547	1.150	     daophot	  i  25.2903  ri -0.0158 | 0.064  0.0
     FTS	2012-10-15	56215.547	1.150	      dophot	  i  25.1771  ri -0.0057 | 0.002  0.0
     FTS	2012-10-15	56215.547	1.150	     daophot	  i  25.2903  ri -0.0158 | 0.064  0.0
     FTS	2012-10-15	56215.547	1.150	      dophot	  i  25.1771  ri -0.0057 | 0.002  0.0
     FTS	2012-10-15	56215.547	1.150	     daophot	  i  25.2903  ri -0.0158 | 0.064  0.0
     FTS	2012-10-15	56215.547	1.150	      dophot	  i  25.1771  ri -0.0057 | 0.002  0.0
     FTS	2012-10-15	56215.547	1.150	     daophot	  i  25.2903  ri -0.0158 | 0.064  0.0
     FTS	2012-10-15	56215.547	1.150	      dophot	  i  25.1771  ri -0.0057 | 0.002  0.0
     FTS	2012-10-15	56215.547	1.150	     daophot	  i  25.2903  ri -0.0158 | 0.064  0.0
     FTS	2012-10-15	56215.544	1.141	     daophot	  g  25.9930  gr 0.12246 | 0.152  0.0
     FTS	2012-10-15	56215.544	1.141	     daophot	  g  25.9930  gr 0.12246 | 0.152  0.0
     FTS	2012-09-22	56192.572	1.051	     daophot	  g  25.6033  gr 0.01882 | 0.187  0.0
     FTS	2012-09-22	56192.572	1.051	     daophot	  g  25.6033  gr 0.01882 | 0.187  0.0
     FTS	2012-09-22	56192.446	1.073	     daophot	  g  25.6111  gr 0.00886 | 0.089  0.0
     FTS	2012-09-22	56192.573	1.053	     daophot	  g  25.6103  gr 0.01806 | 0.067  0.0
     FTS	2012-09-22	56192.444	1.079	     daophot	  i  25.7933  ri -0.0137 | 0.276  0.0
     FTS	2012-09-22	56192.444	1.079	     daophot	  i  25.7933  ri -0.0137 | 0.276  0.0
     FTS	2012-09-22	56192.575	1.058	     daophot	  i  25.7670  ri -0.0179 | 0.188  0.0
     FTS	2012-09-22	56192.444	1.077	      dophot	  i  25.7380  ri 0.00518 | 0.034  0.0
     FTS	2012-09-22	56192.444	1.077	     daophot	  i  25.7670  ri 0.00826 | 0.130  0.0
     FTS	2012-09-22	56192.442	1.083	     daophot	  r  25.9340  gr 0.02817 | 0.448  0.0
     FTS	2012-09-22	56192.442	1.083	     daophot	  r  25.9499  ri 0.01162 | 0.134  0.0
     FTS	2012-09-22	56192.442	1.083	     daophot	  r  25.9340  gr 0.02817 | 0.448  0.0
     FTS	2012-09-22	56192.442	1.083	     daophot	  r  25.9499  ri 0.01162 | 0.134  0.0
     FTS	2012-09-22	56192.573	1.054	     daophot	  r  25.9372  gr 0.02748 | 0.150  0.0
     FTS	2012-09-22	56192.573	1.054	     daophot	  r  25.9472  ri 0.05528 | 0.345  0.0
     FTS	2012-09-22	56192.443	1.081	     daophot	  r  25.9519  gr 0.00184 | 0.000  0.0
     FTS	2012-09-22	56192.443	1.081	     daophot	  r  25.9505  ri -0.0015 | 0.001  0.0
     FTS	2012-09-22	56192.574	1.056	     daophot	  r  25.9454  gr 0.01821 | 0.085  0.0
     FTS	2012-09-22	56192.574	1.056	     daophot	  r  25.9565  ri 0.00959 | 0.049  0.0
     FTS	2012-09-23	56193.380	1.318	     daophot	  g  25.4736  gr 0.04635 | 0.377  0.0
     FTS	2012-09-23	56193.380	1.318	     daophot	  g  25.4736  gr 0.04635 | 0.377  0.0
     FTS	2012-09-23	56193.505	1.001	     daophot	  g  25.5770  gr 0.01539 | 0.129  0.0
     FTS	2012-09-22	56192.572	1.051	      dophot	  g  25.6150  gr -0.0410 | 0.127  0.0
     FTS	2012-09-22	56192.572	1.051	     daophot	  g  25.6033  gr 0.01882 | 0.187  0.0
     FTS	2012-09-22	56192.446	1.073	      dophot	  g  25.5934  gr 0.01494 | 0.032  0.0
     FTS	2012-09-22	56192.573	1.053	      dophot	  g  25.5916  gr -0.0087 | 0.011  0.0
     FTS	2012-09-22	56192.444	1.079	     daophot	  i  25.7933  ri -0.0137 | 0.276  0.0
     FTS	2012-09-22	56192.575	1.058	      dophot	  i  25.7555  ri -0.0173 | 0.119  0.0
     FTS	2012-09-22	56192.444	1.077	      dophot	  i  25.7380  ri 0.00518 | 0.034  0.0
     FTS	2012-09-22	56192.444	1.077	     daophot	  i  25.7670  ri 0.00826 | 0.130  0.0
